X,Y,objectid,unique_record_id,ga_id,unique_site_id,authority,licence_no,co_located,facility_management_type,facility_infastructure_type,facility_owner,facility_name,state,address,suburb,postcode,operational_status,spatial_confidence,capture_method,gnaf_address_detail_pid,gnaf_formatted_address,gnaf_suburb,gnaf_postcode,gnaf_confidence,gnaf_date_created,gnaf_date_last_modfied,gnaf_date_retired
151.392078,-32.668062,12,WASTNSW662,,NSW00556,,,,DROP-OFF,TRANSFER STATION,CESSNOCK CITY COUNCIL,GRETA TRANSFER STATION,NSW,HOLINGSHED STREET,GRETA,2334,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
153.35758,-29.387215,13,WASTNSW730,,NSW00615,,,,DROP-OFF,TRANSFER STATION,CLARENCE VALLEY COUNCIL,ILUKA WASTE TRANSFER STATION,NSW,JOHNSON LANE,ILUKA,2466,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
152.081901,-28.647981,14,WASTNSW882,,NSW00741,,,,DROP-OFF,TRANSFER STATION,TENTERFIELD SHIRE COUNCIL,LISTON TRANSFER STATION,NSW,TENTERFIELD ROAD,LISTON,2372,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
152.9182,-30.747266,15,WASTNSW905,,NSW00759,EPA NSW,20555,,RECYCLING,C&D WASTE RECYCLING FACILITY,BORAL RESOURCES (COUNTRY) PTY LTD,MACKSVILLE QUARRY,NSW,PACIFIC HIGHWAY,MACKSVILLE,2447,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
149.895844,-36.869971,16,WASTNSW960,,NSW00808,EPA NSW,6044,YES,RECYCLING,ORGANICS RECYCLING FACILITY,BEGA VALLEY SHIRE COUNCIL,MERIMBULA WASTE & RECYCLING DEPOT,NSW,RED HILL ROAD,MERIMBULA,2548,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
149.895844,-36.869971,17,WASTNSW961,,NSW00808,,,YES,REUSE,REUSE SHOP,BEGA VALLEY SHIRE COUNCIL,MERIMBULA WASTE & RECYCLING DEPOT,NSW,RED HILL ROAD,MERIMBULA,2548,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
149.895844,-36.869971,18,WASTNSW962,,NSW00808,EPA NSW,6044,YES,DROP-OFF,TRANSFER STATION,BEGA VALLEY SHIRE COUNCIL,MERIMBULA WASTE & RECYCLING DEPOT,NSW,RED HILL ROAD,MERIMBULA,2548,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
149.911571,-31.086779,19,WASTNSW1042,,NSW00880,,,,DROP-OFF,TRANSFER STATION,GUNNEDAH SHIRE COUNCIL,MULLALEY TRANSFER STATION,NSW,MULLALEY & BOGGABRI STOCK ROUTE,MULLALEY,2379,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
148.511057,-34.3029999999999,20,WASTNSW1051,,NSW00887,,,,DISPOSAL,LANDFILL – PUTRESCIBLE,HILLTOPS COUNCIL,MURRINGO TRANSFER STATION,NSW,NOTE STREET,MURRINGO,2586,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
152.946933,-29.079425,21,WASTNSW1240,,NSW01053,,,,DROP-OFF,TRANSFER STATION,RICHMOND VALLEY COUNCIL,RAPPVILLE TRANSFER STATION,NSW,CARWONG ROAD,RAPPVILLE,2469,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
149.012538,-34.3975649999999,22,WASTNSW1284,,NSW01093,,,,DROP-OFF,TRANSFER STATION,HILLTOPS COUNCIL,RUGBY TRANSFER STATION,NSW,RUGBY ROAD,RUGBY,2583,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
148.901472,-34.521964,23,WASTNSW1298,,NSW01105,EPA NSW,233,,DISPOSAL,LANDFILL – PUTRESCIBLE,HILLTOPS COUNCIL,RYE PARK LANDFILL,NSW,COOK STREET,RYE PARK,2586,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
147.758755,-34.461496,24,WASTNSW1381,,NSW01169,EPA NSW,3584,,RECYCLING,ORGANICS RECYCLING FACILITY,TEYS AUSTRALIA SOUTHERN PROPERTY PTY LTD,TEYS AUSTRALIA JINDALEE,NSW,PORTERS LANE,SPRINGDALE,2666,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
148.062174,-33.2369249999999,25,WASTNSW1498,,NSW01269,EPA NSW,20905,,RECYCLING,ORGANICS RECYCLING FACILITY,AUSTRALIAN NATIVE LANDSCAPES PTY LTD,ANL OAKLEIGH,NSW,OAKLEIGH LANE,TICHBORNE,2870,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
147.581247,-32.6321859999999,26,WASTNSW1528,,NSW01296,,,,DROP-OFF,TRANSFER STATION,PARKES SHIRE COUNCIL,TULLAMORE RECYCLING DROP OFF CENTRE,NSW,CNR CAREY & HAYLOCK STREETS,TULLAMORE,2874,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
147.989315,-35.7760059999999,27,WASTNSW1531,,NSW01299,,,YES,DROP-OFF,E-WASTE DROP-OFF FACILITY,SNOWY VALLEYS COUNCIL,TUMBARUMBA TRANSFER STATION,NSW,SALEYARDS RD,TUMBARUMBA,2653,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
147.989315,-35.7760059999999,28,WASTNSW1532,,NSW01299,,,YES,DROP-OFF,TRANSFER STATION,SNOWY VALLEYS COUNCIL,TUMBARUMBA TRANSFER STATION,NSW,SALEYARDS ROAD,TUMBARUMBA,2653,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
148.690504,-32.779642,29,WASTNSW1735,,NSW01476,,,YES,DISPOSAL,LANDFILL – PUTRESCIBLE,CABONNE SHIRE COUNCIL,YEOVAL WASTE MANAGEMENT FACILITY,NSW,JOBS ROAD,YEOVAL,2868,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
148.690504,-32.779642,30,WASTNSW1736,,NSW01476,,,YES,DROP-OFF,TRANSFER STATION,CABONNE SHIRE COUNCIL,YEOVAL WASTE MANAGEMENT FACILITY,NSW,JOBS ROAD,YEOVAL,2868,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
148.306796,-34.319606,31,WASTNSW1743,,NSW01482,,,,RECYCLING,MATERIALS RECOVERY FACILITY (MRF),ELOUERA INDUSTRIES,ELOUERA RECYCLING YOUNG,NSW,VICTORIA AVENUE,YOUNG,2594,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
148.306796,-34.319606,32,WASTNSW1744,,NSW01483,,,YES,DISPOSAL,LANDFILL – PUTRESCIBLE,HILLTOPS COUNCIL,VICTORIA ST WASTE MANAGEMENT FACILITY,NSW,VICTORIA STREET,YOUNG,2594,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
148.306796,-34.319606,33,WASTNSW1745,,NSW01483,,,YES,DROP-OFF,E-WASTE DROP-OFF FACILITY,HILLTOPS COUNCIL,VICTORIA ST WASTE MANAGEMENT FACILITY,NSW,VICTORIA STREET,YOUNG,2594,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
148.306796,-34.319606,34,WASTNSW1746,,NSW01483,EPA NSW,5916,YES,DROP-OFF,TRANSFER STATION,HILLTOPS COUNCIL,VICTORIA ST WASTE MANAGEMENT FACILITY,NSW,VICTORIA STREET,YOUNG,2594,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
146.029677,-17.780112,35,WASTQLD95,,QLD00089,,,,DROP-OFF,TRANSFER STATION,CASSOWARY COAST REGIONAL COUNCIL,BELLS CREEK TRANSFER STATION,QLD,OFF BRUCE HIGHWAY,BELLS CREEK,4551,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
148.232008,-20.0119799999999,36,WASTQLD140,,QLD00130,,,,NOT CLASSIFIED,OTHER WASTE FACILITY,CLEANAWAY,CLEANAWAY BOWEN SOLID WASTE DEPOT,QLD,1 REYNOLDS ROAD,BOWEN,4805,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
146.831566,-19.311281,37,WASTQLD342,,QLD00302,,,YES,RECYCLING,ORGANICS RECYCLING FACILITY,GOODSELL EARTHMOVING PTY LTD,GOODSELL EARTHMOVING YARD,QLD,181 RACECOURSE ROAD,CLUDEN,4812,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
150.126647,-26.926126,38,WASTQLD354,,QLD00308,,,,DROP-OFF,TRANSFER STATION,WESTERN DOWNS REGIONAL COUNCIL,CONDAMINE TRANSFER STATION,QLD,LEICHHARDT HIGHWAY,CONDAMINE,4416,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
145.214709,-15.4715619999999,39,WASTQLD357,,QLD00311,,,,DROP-OFF,TRANSFER STATION,COOK SHIRE COUNCIL,COOKTOWN TRANSFER STATION,QLD,ENDEAVOUR VALLEY ROAD,COOKTOWN,4895,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
145.696673,-28.0487699999999,40,WASTQLD393,,QLD00344,,,,DISPOSAL,LANDFILL – PUTRESCIBLE,PAROO SHIRE COUNCIL,CUNNAMULLA LANDFILL,QLD,OLD CHARLEVILLE ROAD,CUNNAMULLA,4480,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
140.585747,-22.0940179999999,41,WASTQLD399,,QLD00350,,,,DISPOSAL,LANDFILL – PUTRESCIBLE,CHINOVA RESOURCES OSBORNE PTY LTD,OSBORNE MINE LANDFILL,QLD,OSBORNE MINE SITE,DAJARRA,4825,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
151.724223,-27.1580939999999,42,WASTQLD471,,QLD00417,,,,DROP-OFF,TRANSFER STATION,TOOWOOMBA REGIONAL COUNCIL,EVERGREEN WASTE FACILITY,QLD,OAKEY-COOYAR ROAD,EVERGREEN,4352,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
139.519658,-20.701681,43,WASTQLD899,,QLD00794,,,YES,DROP-OFF,E-WASTE DROP-OFF FACILITY,MOUNT ISA CITY COUNCIL,MOUNT ISA REFUSE FACILITY,QLD,JESSOP DRIVE,MOUNT ISA,4825,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
150.974097,-23.803756,44,WASTQLD905,,QLD00800,,,,DROP-OFF,TRANSFER STATION,GLADSTONE REGIONAL COUNCIL,MOUNT LARCOM TRANSFER STATION,QLD,52 POPENIA ROAD,MOUNT LARCOM,4695,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
138.687021,-34.6909039999999,45,WASTQLD1175,,QLD01041,,,,DROP-OFF,E-WASTE DROP-OFF FACILITY,HARVEY NORMAN,HARVEY NORMAN,QLD,600 MAIN NORTH ROAD,SMITHFIELD,4878,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
153.389847,-27.9741319999999,46,WASTQLD1193,,QLD01059,,,,REUSE,REUSE SHOP,ENDEAVOUR FOUNDATION,SOUTHPORT TIP SHOP,QLD,DAKARA DRIVE,SOUTHPORT,4215,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
151.20494,-27.825998,47,WASTQLD1325,,QLD01178,,,,DROP-OFF,TRANSFER STATION,TOOWOOMBA REGIONAL COUNCIL,TURALLIN SKIP BIN SITE,QLD,CNR TURALLIN ROAD & MAIN STREET,TURRALLIN,4357,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
139.554207,-34.7561249999999,48,WASTSA756,,SA00664,EPA SA,1933,,DROP-OFF,TRANSFER STATION,MID MURRAY COUNCIL,WALKER FLAT TRANSFER STATION,SA,4756 ANGAS VALLEY ROAD,WALKER FLAT,5238,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
147.243354,-42.7348269999999,49,WASTTAS13,,TAS00012,,,,DROP-OFF,SOFT PLASTICS DROP-OFF FACILITY,COLES,COLES SUPERMARKET,TAS,COVEHILL FAIR SHOPPING CENTRE CNR DERWENT HIGHWAY & COVEHILL ROAD EAST  ,BRIDGEWATER,7030,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
147.772557,-42.840564,50,WASTTAS26,,TAS00023,,,,DISPOSAL,LANDFILL – PUTRESCIBLE,SOUTHERN WASTE SOLUTIONS,COPPING LANDFILL,TAS,BLUE HILLS ROAD,COPPING,7174,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
147.625196,-42.847615,51,WASTTAS42,,TAS00034,,,,RECYCLING,OTHER RECYCLING FACILITY,SORELL COUNCIL,DODGES FERRY RECYCLING CENTRE,TAS,OLD FORCETT ROAD,DODGES FERRY,7173,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
147.289143,-42.2658049999999,52,WASTTAS120,,TAS00099,,,,RECYCLING,ORGANICS RECYCLING FACILITY,PURE LIVING SOIL,PURE LIVING SOIL,TAS,INTERLAKEN ROAD,OATLANDS,7120,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
147.561548,-42.7916989999999,53,WASTTAS144,,TAS00123,,,,RECYCLING,OTHER RECYCLING FACILITY,SORELL COUNCIL,SORELL RECYCLING CENTRE,TAS,GIBLIN DRIVE,SORELL,7172,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
148.226872,-41.318118,54,WASTTAS155,,TAS00128,,,YES,DROP-OFF,E-WASTE DROP-OFF FACILITY,BREAK O'DAY COUNCIL,ST HELENS TRANSFER STATION,TAS,EAGLE STREET,ST HELENS,7216,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
117.699185,-34.888207,55,WASTWA17,,WA00015,,,,DROP-OFF,TRANSFER STATION,ALBANY CITY COUNCIL,REDMOND TRANSFER STATION,WA,LOT 50 REDMOND-HAY RIVER ROAD,ALBANY ,6330,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
128.399608,-16.717619,56,WASTWA24,,WA00021,DWER WA,,,DISPOSAL,LANDFILL – PUTRESCIBLE,ARGYLE DIAMONDS LIMITED,ARGYLE DIAMOND MINE,WA,LISSADELL ROAD,ARGYLE,6743,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
115.81598,-32.294923,57,WASTWA67,,WA00046,DWER WA,,YES,DISPOSAL,LANDFILL – INERT,PMR QUARRIES PTY LTD,KEROSENE LANE,WA,KEROSENE LANE,BALVIDIS,6171,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
115.81598,-32.294923,58,WASTWA68,,WA00046,,,YES,DROP-OFF,TRANSFER STATION,PMR QUARRIES PTY LTD,KEROSENE LANE,WA,KEROSENE LANE,BALVIDIS,6171,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
115.81598,-32.294923,59,WASTWA69,,WA00046,,,YES,RECYCLING,C&D WASTE RECYCLING FACILITY,PMR QUARRIES PTY LTD,KEROSENE LANE,WA,KEROSENE LANE,BALVIDIS,6171,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
115.753772,-33.970975,60,WASTWA77,,WA00051,DWER WA,,,DISPOSAL,LANDFILL – PUTRESCIBLE,NANNUP SHIRE COUNCIL,NANNUP WASTE DISPOSAL SITE,WA,BEGGARS ROAD,BARRABUP,6275,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
105.686112,-10.4337919999999,61,WASTWA240,,WA00179,DWER WA,,,NOT CLASSIFIED,OTHER WASTE FACILITY,CHRISTMAS ISLAND SHIRE COUNCIL,CHRISTMAS ISLAND WASTE DEPOT,WA,VAGABOND ROAD,CHRISTMAS ISLAND,6798,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
96.892542,-12.111415,62,WASTWA249,,WA00187,DWER WA,,,DROP-OFF,TRANSFER STATION,COCOS KEELING ISLANDS SHIRE COUNCIL,HOME ISLAND TRANSFER STATION,WA,"JALAN BALOK MEM, HOME ISLAND",COCOS ISLANDS,6799,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
121.244196,-30.7802419999999,63,WASTWA273,,WA00205,DWER WA,,,DISPOSAL,LANDFILL – NOT CLASSIFIED,EVOLUTION MINING (MUNGARI) PTY LIMITED,MUNGARI GOLD PROJECT,WA,KUNDANA ACCESS ROAD,COOLGARDIE,6429,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
115.989891,-29.8965519999999,64,WASTWA280,,WA00212,,,,DISPOSAL,LANDFILL – PUTRESCIBLE,COOROW SHIRE COUNCIL,COOROW TOWN LANDFILL,WA,TIP ROAD,COOROW,6515,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
114.9297,-29.2731279999999,65,WASTWA332,,WA00255,DWER WA,,,NOT CLASSIFIED,OTHER WASTE FACILITY,IRWIN SHIRE COUNCIL,DONGARA REFUSE SITE,WA,MONEY STREET,DONGARA,6525,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
116.828398,-31.286375,66,WASTWA413,,WA00324,DWER WA,,,DISPOSAL,LANDFILL – PUTRESCIBLE,GOOMALLING SHIRE COUNCIL,GOOMALLING WASTE FACILITY,WA,LOT 500 CALINGIRI ROAD,GOOMALLING,6460,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
116.828518,-31.2862499999999,67,WASTWA414,,WA00325,,,,DISPOSAL,LANDFILL – PUTRESCIBLE,GOOMALLING SHIRE COUNCIL,GOOMALLING WASTE FACILITY,WA,WATERHOUSE WAY,GOOMALLING,6460,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
117.86892,-32.935312,68,WASTWA425,,WA00335,DWER WA,,,DROP-OFF,TRANSFER STATION,WICKEPIN SHIRE COUNCIL,HARRISMITH WASTE TRANSFER STATION,WA,NARROGIN-HARRISMITH ROAD,HARRISMITH,6361,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
115.809764,-32.188212,69,WASTWA466,,WA00368,DWER WA,,YES,DROP-OFF,TRANSFER STATION,ECO RESOURCES PTY LTD,ECO RESOURCES ,WA,POSTANS ROAD ,HOPE VALLEY,6167,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
115.809764,-32.188212,70,WASTWA467,,WA00368,,,YES,RECYCLING,C&D WASTE RECYCLING FACILITY,ECO RESOURCES PTY LTD,ECO RESOURCES ,WA,POSTANS ROAD ,HOPE VALLEY,6167,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
115.809764,-32.188212,71,WASTWA468,,WA00368,,,YES,RECYCLING,METALS RECOVERY FACILITY,ECO RESOURCES PTY LTD,ECO RESOURCES ,WA,POSTANS ROAD ,HOPE VALLEY,6167,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
115.809764,-32.188212,72,WASTWA469,,WA00368,,,YES,RECYCLING,RUBBER RECYCLING FACILITY,ECO RESOURCES PTY LTD,ECO RESOURCES ,WA,POSTANS ROAD ,HOPE VALLEY,6167,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
115.809764,-32.188212,73,WASTWA470,,WA00368,,,YES,RECYCLING,ORGANICS RECYCLING FACILITY,ECO RESOURCES PTY LTD,ECO RESOURCES ,WA,POSTANS ROAD ,HOPE VALLEY,6167,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
114.209588,-27.715008,74,WASTWA505,,WA00399,DWER WA,,,DROP-OFF,TRANSFER STATION,NORTHAMPTON SHIRE COUNCIL,PORTER STREET WORKS DEPOT,WA,PORTER STREET,KALBARRI,6536,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
116.092048,-32.0917229999999,75,WASTWA532,,WA00425,DWER WA,,,RECYCLING,ORGANICS RECYCLING FACILITY,ARMADALE CITY COUNCIL,ROLEYSTONE GREENWASTE SITE,WA,LOT 3906 SPRINGDALE ROAD,KARRAGULLEN,6111,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
116.874647,-20.7663289999999,76,WASTWA535,,WA00428,,,,RECYCLING,METALS RECOVERY FACILITY,SIMS LTD,SIMS KARRATHA,WA,2526 COOLAWANYAH ROAD,KARRATHA,6714,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
116.150189,-21.0852889999999,77,WASTWA538,,WA00431,DWER WA,,,DISPOSAL,LANDFILL – NOT CLASSIFIED,CITIC PACIFIC MINING MANAGEMENT PTY LTD,SINO IRON PROJECT MINE SITE,WA,FORTESCUE RIVER MOUTH ACCESS ROAD,KARRATHA,6714,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
116.725648,-20.821119,78,WASTWA542,,WA00435,DWER WA,,,DISPOSAL,LANDFILL – INERT,BORAL RESOURCES (WA) LTD,MT REGAL QUARRY,WA,NORTH WEST COASTAL HIGHWAY ,KARRATHA,6714,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
117.595814,-33.6927239999999,79,WASTWA548,,WA00440,,,YES,DROP-OFF,TRANSFER STATION,KATANNING SHIRE COUNCIL,KATANNING REFUSE SITE,WA,KATANNING NYABING ROAD AND DEPOT ROAD,KATANNING,6317,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
117.595814,-33.6927239999999,80,WASTWA549,,WA00440,,,YES,DROP-OFF,E-WASTE DROP-OFF FACILITY,KATANNING SHIRE COUNCIL,KATANNING SHIRE REFUSE SITE,WA,KATANNING NYABING ROAD AND DEPOT ROAD,KATANNING,6317,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
123.753071,-16.133326,81,WASTWA565,,WA00454,DWER WA,,,DISPOSAL,LANDFILL – NOT CLASSIFIED,KOOLAN IRON ORE PTY LTD,KOOLAN ISLAND IRON ORE MINE & PORT FACILITY,WA,KOOLAN ISLAND (BUCCANEER ARCHIPELAGO),KOOLAN ISLAND,6733,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
117.467021,-30.8194379999999,82,WASTWA567,,WA00456,DWER WA,,,DISPOSAL,LANDFILL – PUTRESCIBLE,KOORDA SHIRE COUNCIL,KOORDA LANDFILL,WA,LOT 3771 CADOUX-KOORDA ROAD,KOORDA,6475,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
